code_module,code_presentation,id_student,date_registration,date_unregistration
AAA,2014J,2630087,-49.0,-8.0
AAA,2014J,2690062,-25.0,32.0
BBB,2013B,27891,-58.0,153.0
BBB,2013B,33666,-23.0,139.0
BBB,2013B,34431,-24.0,27.0
BBB,2013B,34694,-55.0,-54.0
BBB,2013B,34756,-43.0,59.0
BBB,2013B,52899,-117.0,86.0
BBB,2013B,72070,-24.0,10.0
BBB,2013B,86291,-15.0,72.0
BBB,2013B,87604,-111.0,-75.0
BBB,2013B,88580,-23.0,-8.0
BBB,2013B,92274,-96.0,132.0
BBB,2013B,96291,-51.0,42.0
BBB,2013B,102849,-51.0,-4.0
BBB,2013B,123379,-131.0,-59.0
BBB,2013B,127209,-255.0,-225.0
BBB,2013B,128776,-97.0,24.0
BBB,2013B,141823,-47.0,86.0
BBB,2013B,143854,-23.0,27.0
BBB,2013B,152153,-93.0,157.0
BBB,2013B,153704,-166.0,166.0
BBB,2013B,155735,-45.0,13.0
BBB,2013B,169515,-50.0,135.0
BBB,2013B,170356,-46.0,68.0
BBB,2013B,174321,-82.0,-19.0
BBB,2013B,177639,-24.0,11.0
BBB,2013B,179605,-68.0,76.0
BBB,2013B,185240,-87.0,33.0
BBB,2013B,186780,-117.0,213.0
BBB,2013B,200863,-77.0,25.0
BBB,2013B,228049,-54.0,11.0
BBB,2013B,228235,-127.0,6.0
BBB,2013B,230348,-121.0,-68.0
BBB,2013B,232600,-59.0,-9.0
BBB,2013B,232745,-77.0,-65.0
BBB,2013B,242149,-89.0,123.0
BBB,2013B,252652,-86.0,-25.0
BBB,2013B,253250,-24.0,34.0
BBB,2013B,256215,-127.0,-92.0
BBB,2013B,258402,-108.0,-1.0
BBB,2013B,259182,-115.0,-5.0
BBB,2013B,262294,-24.0,208.0
BBB,2013B,263531,-47.0,-22.0
BBB,2013B,265405,-85.0,27.0
BBB,2013B,265958,-53.0,95.0
BBB,2013B,269076,-23.0,48.0
BBB,2013B,269289,-137.0,-82.0
BBB,2013B,288990,-47.0,198.0
BBB,2013B,291701,-121.0,-25.0
BBB,2013B,292027,-50.0,22.0
BBB,2013B,294999,-65.0,72.0
BBB,2013B,296408,-227.0,-117.0
BBB,2013B,299561,-128.0,54.0
BBB,2013B,302550,-198.0,-163.0
BBB,2013B,305945,-53.0,57.0
BBB,2013B,306984,-123.0,27.0
BBB,2013B,311042,-16.0,47.0
BBB,2013B,322960,-23.0,81.0
BBB,2013B,324236,-36.0,139.0
BBB,2013B,330376,-92.0,27.0
BBB,2013B,333837,-137.0,42.0
BBB,2013B,334794,-29.0,38.0
BBB,2013B,338912,-22.0,-16.0
BBB,2013B,339526,-94.0,123.0
BBB,2013B,339946,-73.0,200.0
BBB,2013B,340378,-66.0,27.0
BBB,2013B,340831,-97.0,136.0
BBB,2013B,341040,-64.0,129.0
BBB,2013B,341235,-85.0,-8.0
BBB,2013B,349040,-127.0,83.0
BBB,2013B,352161,-87.0,61.0
BBB,2013B,353918,-95.0,-18.0
BBB,2013B,354815,-266.0,137.0
BBB,2013B,354895,-77.0,102.0
BBB,2013B,355369,-54.0,59.0
BBB,2013B,357030,-18.0,51.0
BBB,2013B,359170,-58.0,-36.0
BBB,2013B,360489,-16.0,152.0
BBB,2013B,362877,-128.0,100.0
BBB,2013B,364323,-16.0,5.0
BBB,2013B,369212,-61.0,27.0
BBB,2013B,372624,-83.0,-73.0
BBB,2013B,375312,-42.0,9.0
BBB,2013B,377695,-155.0,-73.0
BBB,2013B,378721,-123.0,130.0
BBB,2013B,379405,-169.0,-30.0
BBB,2013B,380151,-16.0,121.0
BBB,2013B,381722,-52.0,53.0
BBB,2013B,383828,-99.0,13.0
BBB,2013B,384909,-88.0,145.0
BBB,2013B,385034,-85.0,66.0
BBB,2013B,387276,-88.0,-80.0
BBB,2013B,388014,-276.0,-209.0
BBB,2013B,392281,-44.0,195.0
BBB,2013B,393327,-128.0,-109.0
BBB,2013B,394956,-134.0,31.0
BBB,2013B,395107,-169.0,-2.0
BBB,2013B,397763,-50.0,27.0
BBB,2013B,398949,-30.0,-22.0
BBB,2013B,398965,-173.0,156.0
BBB,2013B,399108,-24.0,5.0
BBB,2013B,400718,-121.0,-106.0
BBB,2013B,402660,-36.0,27.0
BBB,2013B,403191,-18.0,27.0
BBB,2013B,405746,-34.0,54.0
BBB,2013B,406416,-68.0,68.0
BBB,2013B,406974,-95.0,165.0
BBB,2013B,415548,-46.0,-29.0
BBB,2013B,418065,-29.0,87.0
BBB,2013B,422752,-44.0,30.0
BBB,2013B,423317,-42.0,38.0
BBB,2013B,425817,-99.0,172.0
BBB,2013B,429158,-65.0,-47.0
BBB,2013B,430160,-42.0,9.0
BBB,2013B,431071,-10.0,164.0
BBB,2013B,432319,-25.0,108.0
BBB,2013B,438210,-99.0,26.0
BBB,2013B,438379,-117.0,-8.0
BBB,2013B,441423,-128.0,-26.0
BBB,2013B,442143,-137.0,54.0
BBB,2013B,443108,-85.0,187.0
BBB,2013B,446247,-67.0,47.0
BBB,2013B,446357,-44.0,159.0
BBB,2013B,447007,-16.0,187.0
BBB,2013B,447790,-36.0,216.0
BBB,2013B,465730,-25.0,226.0
BBB,2013B,466800,-15.0,159.0
BBB,2013B,467835,-22.0,27.0
BBB,2013B,468792,-29.0,60.0
BBB,2013B,472182,-169.0,116.0
BBB,2013B,472348,-23.0,96.0
BBB,2013B,475078,-92.0,226.0
BBB,2013B,476037,-74.0,212.0
BBB,2013B,476297,-23.0,209.0
BBB,2013B,476457,-127.0,47.0
BBB,2013B,476816,-16.0,18.0
BBB,2013B,476855,-74.0,38.0
BBB,2013B,477835,-30.0,164.0
BBB,2013B,478317,-107.0,223.0
BBB,2013B,478718,-157.0,172.0
BBB,2013B,479267,-16.0,27.0
BBB,2013B,480151,-27.0,10.0
BBB,2013B,482945,-15.0,188.0
BBB,2013B,483309,-28.0,38.0
BBB,2013B,483371,-94.0,188.0
BBB,2013B,484135,-93.0,44.0
BBB,2013B,485352,-135.0,-16.0
BBB,2013B,486214,-130.0,27.0
BBB,2013B,486650,-169.0,108.0
BBB,2013B,488477,-53.0,89.0
BBB,2013B,488929,-61.0,27.0
BBB,2013B,490110,-51.0,27.0
BBB,2013B,490733,-44.0,27.0
BBB,2013B,492336,-96.0,27.0
BBB,2013B,493377,-27.0,82.0
BBB,2013B,494840,-83.0,54.0
BBB,2013B,494927,-77.0,95.0
BBB,2013B,495324,-64.0,40.0
BBB,2013B,495377,-100.0,-30.0
BBB,2013B,495875,-23.0,46.0
BBB,2013B,495913,-22.0,39.0
BBB,2013B,497278,-16.0,48.0
BBB,2013B,498371,-171.0,118.0
BBB,2013B,500507,-61.0,208.0
BBB,2013B,500585,-102.0,163.0
BBB,2013B,500659,-74.0,110.0
BBB,2013B,500719,-106.0,74.0
BBB,2013B,501008,-46.0,187.0
BBB,2013B,502131,-162.0,48.0
BBB,2013B,502279,-164.0,-96.0
BBB,2013B,503353,-23.0,46.0
BBB,2013B,503878,-102.0,165.0
BBB,2013B,504021,-25.0,118.0
BBB,2013B,504689,-144.0,26.0
BBB,2013B,505123,-221.0,-68.0
BBB,2013B,505417,-128.0,146.0
BBB,2013B,505499,-157.0,-2.0
BBB,2013B,505592,-53.0,27.0
BBB,2013B,505595,-46.0,74.0
BBB,2013B,506650,-100.0,220.0
BBB,2013B,507184,-21.0,49.0
BBB,2013B,507221,-114.0,3.0
BBB,2013B,507303,-179.0,27.0
BBB,2013B,507320,-21.0,27.0
BBB,2013B,507485,-22.0,27.0
BBB,2013B,507685,-165.0,4.0
BBB,2013B,508103,-92.0,26.0
BBB,2013B,509130,-24.0,27.0
BBB,2013B,509295,-122.0,-25.0
BBB,2013B,509334,-101.0,-81.0
BBB,2013B,510141,-28.0,158.0
BBB,2013B,511652,-106.0,-30.0
BBB,2013B,512883,-114.0,69.0
BBB,2013B,512924,-119.0,-2.0
BBB,2013B,513016,-93.0,-80.0
BBB,2013B,513196,-25.0,5.0
BBB,2013B,513210,-122.0,198.0
BBB,2013B,513368,-142.0,-29.0
BBB,2013B,513881,-36.0,167.0
BBB,2013B,514365,-150.0,20.0
BBB,2013B,514819,-23.0,-16.0
BBB,2013B,514951,-15.0,57.0
BBB,2013B,515174,-52.0,27.0
BBB,2013B,517701,-18.0,-2.0
BBB,2013B,519647,-179.0,27.0
BBB,2013B,520049,-50.0,-2.0
BBB,2013B,520230,-23.0,27.0
BBB,2013B,520749,-2.0,16.0
BBB,2013B,523156,-27.0,27.0
BBB,2013B,523789,-151.0,-23.0
BBB,2013B,524101,-126.0,143.0
BBB,2013B,524496,-147.0,16.0
BBB,2013B,524769,-30.0,27.0
BBB,2013B,524968,-52.0,-2.0
BBB,2013B,525543,-161.0,-142.0
BBB,2013B,525942,-68.0,216.0
BBB,2013B,526506,-43.0,79.0
BBB,2013B,527343,-46.0,29.0
BBB,2013B,527382,-59.0,39.0
BBB,2013B,528175,-88.0,83.0
BBB,2013B,528220,-128.0,110.0
BBB,2013B,528270,-142.0,-131.0
BBB,2013B,528918,-22.0,74.0
BBB,2013B,529118,-73.0,-5.0
BBB,2013B,529767,-23.0,27.0
BBB,2013B,530215,-121.0,12.0
BBB,2013B,530245,-128.0,5.0
BBB,2013B,530398,-109.0,14.0
BBB,2013B,530483,-121.0,-28.0
BBB,2013B,531000,-22.0,12.0
BBB,2013B,531205,-24.0,62.0
BBB,2013B,531235,-77.0,31.0
BBB,2013B,531428,-133.0,48.0
BBB,2013B,531481,-107.0,-75.0
BBB,2013B,531689,-92.0,30.0
BBB,2013B,532000,-89.0,27.0
BBB,2013B,532142,-73.0,109.0
BBB,2013B,532396,-130.0,44.0
BBB,2013B,532512,-44.0,191.0
BBB,2013B,532742,-55.0,27.0
BBB,2013B,532839,-130.0,208.0
BBB,2013B,532928,-93.0,-1.0
BBB,2013B,533512,-95.0,-2.0
BBB,2013B,533697,-86.0,136.0
BBB,2013B,533737,-102.0,-1.0
BBB,2013B,533996,-111.0,90.0
BBB,2013B,534151,-134.0,27.0
BBB,2013B,534217,-116.0,-16.0
BBB,2013B,534426,-89.0,-11.0
BBB,2013B,534671,-16.0,27.0
BBB,2013B,534713,-107.0,18.0
BBB,2013B,534758,-92.0,-19.0
BBB,2013B,534830,-59.0,-17.0
BBB,2013B,534922,-127.0,-80.0
BBB,2013B,535152,-23.0,113.0
BBB,2013B,535155,-119.0,157.0
BBB,2013B,535269,-94.0,121.0
BBB,2013B,535272,-68.0,-36.0
BBB,2013B,535303,-86.0,27.0
BBB,2013B,535396,-77.0,125.0
BBB,2013B,535526,-121.0,-94.0
BBB,2013B,535558,-61.0,-4.0
BBB,2013B,536203,-36.0,148.0
BBB,2013B,536270,-106.0,97.0
BBB,2013B,536442,-93.0,209.0
BBB,2013B,536471,-115.0,-19.0
BBB,2013B,536510,-96.0,191.0
BBB,2013B,536519,-28.0,46.0
BBB,2013B,536520,-53.0,-30.0
BBB,2013B,536670,-21.0,27.0
BBB,2013B,537263,-83.0,-8.0
BBB,2013B,537320,-16.0,123.0
BBB,2013B,537392,-78.0,101.0
BBB,2013B,538138,-22.0,37.0
BBB,2013B,538196,-89.0,178.0
BBB,2013B,538232,-89.0,96.0
BBB,2013B,539041,-71.0,-12.0
BBB,2013B,539232,-95.0,172.0
BBB,2013B,539426,-16.0,208.0
BBB,2013B,539891,-23.0,65.0
BBB,2013B,540122,-93.0,90.0
BBB,2013B,540568,-89.0,-25.0
BBB,2013B,540594,-25.0,9.0
BBB,2013B,540767,-88.0,27.0
BBB,2013B,540787,-82.0,45.0
BBB,2013B,540918,-86.0,152.0
BBB,2013B,540953,-86.0,27.0
BBB,2013B,541061,-77.0,12.0
BBB,2013B,541196,-93.0,88.0
BBB,2013B,541573,-93.0,-45.0
BBB,2013B,541709,-25.0,3.0
BBB,2013B,541727,-65.0,11.0
BBB,2013B,541838,-64.0,62.0
BBB,2013B,541985,-36.0,27.0
BBB,2013B,542010,-73.0,149.0
BBB,2013B,542081,-23.0,2.0
BBB,2013B,542172,-53.0,122.0
BBB,2013B,542259,-87.0,222.0
BBB,2013B,542396,-94.0,42.0
BBB,2013B,542562,-85.0,-73.0
BBB,2013B,542602,-68.0,11.0
BBB,2013B,542760,-90.0,-9.0
BBB,2013B,543199,-60.0,2.0
BBB,2013B,543365,-73.0,-47.0
BBB,2013B,543408,-58.0,158.0
BBB,2013B,543533,-16.0,207.0
BBB,2013B,543896,-52.0,-49.0
BBB,2013B,543926,-78.0,138.0
BBB,2013B,544435,-73.0,-2.0
BBB,2013B,544444,-78.0,53.0
BBB,2013B,544491,-27.0,27.0
BBB,2013B,544627,-86.0,183.0
BBB,2013B,544686,-23.0,17.0
BBB,2013B,544796,-93.0,-16.0
BBB,2013B,545001,-53.0,-15.0
BBB,2013B,545219,-86.0,17.0
BBB,2013B,545223,-86.0,226.0
BBB,2013B,545337,-77.0,16.0
BBB,2013B,545376,-86.0,54.0
BBB,2013B,545480,-74.0,222.0
BBB,2013B,545514,-98.0,-29.0
BBB,2013B,545521,-44.0,51.0
BBB,2013B,545725,-79.0,184.0
BBB,2013B,545799,-95.0,-85.0
BBB,2013B,545896,-27.0,27.0
BBB,2013B,545927,-36.0,12.0
BBB,2013B,546015,-21.0,27.0
BBB,2013B,546136,-77.0,123.0
BBB,2013B,546333,-21.0,28.0
BBB,2013B,546786,-92.0,5.0
BBB,2013B,546892,-92.0,30.0
BBB,2013B,546941,-53.0,-30.0
BBB,2013B,546947,-24.0,76.0
BBB,2013B,547052,-82.0,-44.0
BBB,2013B,547267,9.0,27.0
BBB,2013B,547303,-36.0,4.0
BBB,2013B,547472,-82.0,-17.0
BBB,2013B,547755,-58.0,37.0
BBB,2013B,547855,-73.0,-15.0
BBB,2013B,548106,-72.0,123.0
BBB,2013B,548321,-79.0,57.0
BBB,2013B,548355,-29.0,57.0
BBB,2013B,548488,-21.0,163.0
BBB,2013B,548585,-50.0,80.0
BBB,2013B,548642,-73.0,110.0
BBB,2013B,548800,-22.0,-5.0
BBB,2013B,548831,-71.0,57.0
BBB,2013B,548881,-50.0,11.0
BBB,2013B,548900,-71.0,57.0
BBB,2013B,548990,-80.0,57.0
BBB,2013B,549009,-53.0,179.0
BBB,2013B,549143,-65.0,57.0
BBB,2013B,549352,-78.0,-1.0
BBB,2013B,549512,-25.0,34.0
BBB,2013B,549563,-64.0,-11.0
BBB,2013B,549590,-72.0,108.0
BBB,2013B,549622,-44.0,12.0
BBB,2013B,549713,-29.0,57.0
BBB,2013B,549873,-49.0,170.0
BBB,2013B,550051,-67.0,99.0
BBB,2013B,550106,-65.0,124.0
BBB,2013B,550208,-71.0,37.0
BBB,2013B,550278,-65.0,51.0
BBB,2013B,550676,-55.0,-29.0
BBB,2013B,550777,-16.0,89.0
BBB,2013B,550842,-59.0,-29.0
BBB,2013B,550867,-16.0,174.0
BBB,2013B,550960,-21.0,115.0
BBB,2013B,551053,-29.0,163.0
BBB,2013B,551172,-53.0,18.0
BBB,2013B,551601,-46.0,-17.0
BBB,2013B,551655,-15.0,206.0
BBB,2013B,551702,-49.0,222.0
BBB,2013B,551724,-65.0,0.0
BBB,2013B,551762,-23.0,57.0
BBB,2013B,551891,-30.0,57.0
BBB,2013B,551906,-50.0,220.0
BBB,2013B,552025,-55.0,142.0
BBB,2013B,552056,-55.0,57.0
BBB,2013B,552069,-25.0,57.0
BBB,2013B,552222,-52.0,212.0
BBB,2013B,552420,-44.0,223.0
BBB,2013B,552640,-59.0,4.0
BBB,2013B,552719,-29.0,27.0
BBB,2013B,552939,-58.0,57.0
BBB,2013B,553520,-53.0,83.0
BBB,2013B,553526,-43.0,-22.0
BBB,2013B,553807,-30.0,143.0
BBB,2013B,553938,-44.0,-1.0
BBB,2013B,554203,-27.0,54.0
BBB,2013B,554249,-44.0,-29.0
BBB,2013B,554290,-28.0,-18.0
BBB,2013B,554362,-44.0,-5.0
BBB,2013B,554454,-36.0,-2.0
BBB,2013B,554482,-36.0,2.0
BBB,2013B,554512,-22.0,130.0
BBB,2013B,554545,-34.0,67.0
BBB,2013B,554637,-46.0,27.0
BBB,2013B,554783,-42.0,48.0
BBB,2013B,554818,-16.0,187.0
BBB,2013B,554920,-36.0,27.0
BBB,2013B,554930,-4.0,186.0
BBB,2013B,555035,-28.0,200.0
BBB,2013B,555212,-46.0,27.0
BBB,2013B,555338,-42.0,-8.0
BBB,2013B,555552,-43.0,27.0
BBB,2013B,555707,-43.0,27.0
BBB,2013B,555837,-20.0,154.0
BBB,2013B,555909,-22.0,96.0
BBB,2013B,555935,-21.0,209.0
BBB,2013B,555995,-16.0,27.0
BBB,2013B,556077,-36.0,17.0
BBB,2013B,556138,-28.0,136.0
BBB,2013B,556481,-30.0,27.0
BBB,2013B,556568,-30.0,173.0
BBB,2013B,556585,-25.0,-15.0
BBB,2013B,556692,-30.0,168.0
BBB,2013B,556840,-29.0,109.0
BBB,2013B,556863,-30.0,121.0
BBB,2013B,556877,-30.0,111.0
BBB,2013B,556882,-30.0,45.0
BBB,2013B,556929,-28.0,-18.0
BBB,2013B,556986,-30.0,179.0
BBB,2013B,556988,-30.0,26.0
BBB,2013B,557155,-27.0,-11.0
BBB,2013B,557170,-22.0,27.0
BBB,2013B,557338,-28.0,-17.0
BBB,2013B,557709,-25.0,125.0
BBB,2013B,557729,-28.0,27.0
BBB,2013B,557938,-23.0,27.0
BBB,2013B,557997,-23.0,-15.0
BBB,2013B,558146,-22.0,27.0
BBB,2013B,558163,-25.0,44.0
BBB,2013B,558212,-15.0,27.0
BBB,2013B,558231,-21.0,-2.0
BBB,2013B,558324,-23.0,111.0
BBB,2013B,558326,-25.0,11.0
BBB,2013B,558395,-25.0,27.0
BBB,2013B,558654,-25.0,101.0
BBB,2013B,558701,-24.0,87.0
BBB,2013B,558974,-21.0,-5.0
BBB,2013B,559011,-20.0,86.0
BBB,2013B,559227,-24.0,27.0
BBB,2013B,559291,-21.0,-5.0
BBB,2013B,559425,-24.0,76.0
BBB,2013B,559697,-12.0,102.0
BBB,2013B,560005,-16.0,158.0
BBB,2013B,560102,-20.0,-1.0
BBB,2013B,560117,-22.0,185.0
BBB,2013B,560161,-22.0,27.0
BBB,2013B,560185,-22.0,11.0
BBB,2013B,560335,-22.0,82.0
BBB,2013B,560458,-21.0,-2.0
BBB,2013B,561366,-9.0,56.0
BBB,2013B,562146,-15.0,180.0
BBB,2013B,562494,-15.0,208.0
BBB,2013B,563157,-1.0,125.0
BBB,2013B,1413989,-53.0,82.0
BBB,2013B,1536591,-95.0,212.0
BBB,2013B,1730702,-30.0,152.0
BBB,2013B,1771053,-50.0,48.0
BBB,2013B,1858523,-116.0,206.0
BBB,2013B,1904710,-77.0,46.0
BBB,2013B,1993672,-21.0,167.0
BBB,2013B,1996746,-86.0,2.0
BBB,2013B,2019837,-29.0,96.0
BBB,2013B,2034350,-60.0,45.0
BBB,2013B,2076177,-24.0,39.0
BBB,2013B,2265234,-42.0,11.0
BBB,2013B,2273828,-8.0,215.0
BBB,2013B,2287671,-36.0,27.0
BBB,2013B,2300911,-109.0,142.0
BBB,2013B,2301111,-12.0,46.0
BBB,2013B,2302925,-122.0,97.0
BBB,2013B,2303848,-73.0,62.0
BBB,2013B,2322046,-51.0,66.0
BBB,2013B,2366070,-21.0,31.0
BBB,2013B,2375144,-86.0,82.0
BBB,2013B,2394212,-253.0,-22.0
BBB,2013B,2399361,-115.0,-19.0
BBB,2013B,2415962,-50.0,18.0
BBB,2013B,2418877,-85.0,89.0
BBB,2013B,2422639,-16.0,33.0
BBB,2013B,2423078,-126.0,89.0
BBB,2013B,2425726,-112.0,80.0
BBB,2013B,2444102,-161.0,-4.0
BBB,2013B,2445088,-24.0,142.0
BBB,2013B,2466123,-30.0,125.0
BBB,2013B,2475034,-112.0,-8.0
BBB,2013B,2480865,-137.0,-136.0
BBB,2013B,2512392,-24.0,177.0
BBB,2013B,2528352,-81.0,-50.0
BBB,2013B,2534033,-100.0,-43.0
BBB,2013B,2540746,-22.0,27.0
BBB,2013B,2553749,-42.0,222.0
BBB,2013B,2570633,-15.0,80.0
BBB,2013B,2575914,-49.0,217.0
BBB,2013B,2578041,-92.0,-75.0
BBB,2013B,2587260,-46.0,40.0
BBB,2013B,2591421,-18.0,164.0
BBB,2013B,2597027,-235.0,-5.0
BBB,2013B,2617650,-231.0,-53.0
BBB,2013B,2626410,-14.0,167.0
BBB,2013B,2680770,-21.0,105.0
BBB,2013B,2692381,-73.0,-29.0
BBB,2013B,2693974,-80.0,-2.0
BBB,2013J,23632,-194.0,-51.0
BBB,2013J,25629,-31.0,-30.0
BBB,2013J,26677,-60.0,-1.0
BBB,2013J,27457,-36.0,-12.0
BBB,2013J,31014,-43.0,128.0
BBB,2013J,47855,23.0,236.0
BBB,2013J,51301,-52.0,46.0
BBB,2013J,53360,-110.0,0.0
BBB,2013J,54388,-51.0,0.0
BBB,2013J,61118,-96.0,-16.0
BBB,2013J,64246,-58.0,-32.0
BBB,2013J,65807,-178.0,-61.0
BBB,2013J,67863,-110.0,0.0
BBB,2013J,69843,-47.0,-28.0
BBB,2013J,72057,-39.0,-14.0
BBB,2013J,74169,-100.0,-67.0
BBB,2013J,78255,-162.0,46.0
BBB,2013J,100282,-54.0,207.0
BBB,2013J,109782,-26.0,166.0
BBB,2013J,125874,-134.0,0.0
BBB,2013J,132626,-39.0,220.0
BBB,2013J,133269,-114.0,-50.0
BBB,2013J,152867,-31.0,18.0
BBB,2013J,154570,-64.0,117.0
BBB,2013J,156788,-195.0,45.0
BBB,2013J,165823,-145.0,12.0
BBB,2013J,184236,-29.0,-12.0
BBB,2013J,184897,-158.0,-52.0
BBB,2013J,185597,-59.0,-51.0
BBB,2013J,198339,-86.0,51.0
BBB,2013J,228243,-194.0,-176.0
BBB,2013J,228513,-31.0,-15.0
BBB,2013J,231959,-50.0,184.0
BBB,2013J,233102,-29.0,-19.0
BBB,2013J,235258,-53.0,-8.0
BBB,2013J,235428,-67.0,-43.0
BBB,2013J,238825,-79.0,-14.0
BBB,2013J,242893,-68.0,156.0
BBB,2013J,243047,-109.0,-80.0
BBB,2013J,244917,-31.0,0.0
BBB,2013J,248800,-150.0,167.0
BBB,2013J,252652,-61.0,119.0
BBB,2013J,259182,-134.0,-1.0
BBB,2013J,264842,-58.0,-25.0
BBB,2013J,266744,-31.0,109.0
BBB,2013J,271346,-32.0,-1.0
BBB,2013J,272617,-39.0,104.0
BBB,2013J,274577,-145.0,-23.0
BBB,2013J,276925,-96.0,174.0
BBB,2013J,278773,-110.0,-57.0
BBB,2013J,280439,-87.0,-51.0
BBB,2013J,282038,-43.0,38.0
BBB,2013J,282785,-47.0,97.0
